,name,core score
510,Adidas Terrex Two Ultra Parley,85
511,Under Armour Surge 2,89
512,Nike React Phantom Run Flyknit 2,86
513,Merrell Banshee,80
514,Nike Run Swift,79
515,Asics Gel Kayano 27,91
516,Merrell MTL Long Sky,87
517,Skechers GOrun 7+,86
518,Merrell MTL Skyfire,86
519,Adidas Alphabounce EM,84
520,Nike React Miler,88
521,Nike Air Max Torch 4,89
522,Nike Quest 2 SE,82
523,Adidas Edge Runner,79
524,Reebok Floatride Run Fast 2,85
525,Nike Renew Ride,69
526,Nike Quest 2,84
527,On Cloudflow 2.0,93
528,Reebok Floatride Run Panthea,81
529,Topo Athletic Ultrafly 3,90
530,Skechers GOrun Pure 2,67
531,Reebok Metreon,77
532,Reebok Floatride Run Fast London Pro,79
533,Nike Air Zoom Winflo 7,87
534,New Balance 890 v8,85
535,Brooks Hyperion Elite,82
536,Adidas Alphabounce Beyond 2.0,88
537,Salomon Cross Pro,84
538,Under Armour Charged Pursuit 2,83
539,Reebok Sublite Legend,82
540,Adidas Senseboost Go Winter,74
541,Asics Gel Nimbus 22 Knit,80
542,Under Armour Charged Intake 4,82
543,The North Face Ultra Swift,72
544,Reebok Runner 4,74
545,Salomon XA Pro 3D V8,84
546,Salomon S-Lab Sense 8,75
547,Mizuno Wave Skyrise,83
548,Hoka Tivra,79
549,Asics Gel Contend 6 Twist,83
550,Hoka Speedgoat Mid 2 GTX,86
551,Salomon XA Wild,86
552,Nike Run All Day 2,81
553,Saucony Xodus 10,88
554,Saucony Cohesion TR 13,81
555,Reebok Harmony Road 3.5,83
556,Salomon Sense Pro 4,88
557,Hoka TenNine,83
558,Adidas Fluidflow,79
559,New Balance Fresh Foam More v2,84
560,Brooks Dyad 11,84
561,La Sportiva Helios 3.0,82
562,Nike Flex Experience RN 9,79
563,La Sportiva Lycan 2.0,84
564,Puma Ember Trail,76
565,Nike Air Max Sequent 4.5,75
566,Nike Air Zoom Pegasus 37,89
567,New Balance FuelCell TC,92
568,Asics Gel Excite 6 Winterized,84
569,Hoka Mach 3,83
570,Under Armour Charged Rogue 2,82
571,The North Face Ultra Traction Futurelight,89
572,Mizuno Wave Hayate 6,79
573,Nike Zoom Rival Fly 2,81
574,Saucony Peregrine 10 ST,87
575,Salomon Sonic 3 Balance,91
576,Topo Athletic Runventure 3,87
577,Salomon S-Lab Sense 8 SG,81
578,Brooks Levitate 3 LE,81
579,Reebok Endless Road 2,72
580,Salomon Sonic 3 Confidence,79
581,Saucony Freedom 3,89
582,Adidas Ultraboost PB,90
583,Reebok Liquifect,87
584,Nike Zoom Pegasus Turbo 2 SE,77
585,New Balance Fresh Foam Roav Tee Shirt,78
586,Under Armour HOVR Machina,88
587,Nike Air Zoom Wildhorse 6,88
588,Nike Air Zoom Terra Kiger 6,88
589,Brooks Hyperion Tempo,90
590,Nike Downshifter 9,83
591,Salomon Sonic 3 Accelerate,85
592,Salomon XA Pro 3D V8 GTX,81
593,Newton Distance 9,90
594,Asics Gel Sileo,81
595,Brooks Anthem 3,83
596,New Balance Fresh Foam Tempo,83
597,Adidas Ultraboost Guard,81
598,Columbia FKT,87
599,Xero Shoes HFS,90
600,Hoka Elevon 2,86
601,Mizuno Wave Horizon 4,82
602,Asics Gel Cumulus 21 Knit,78
603,Skechers Max Cushioning Elite,83
604,Mizuno Wave Creation 21,79
605,New Balance Fresh Foam Arishi v3,81
606,Adidas Adizero Boston 9,85
607,Brooks Transcend 7,92
608,Altra Provision 4.0,85
609,Asics LyteRacer 2,70
610,Brooks Glycerin 18,92
611,Adidas Ultraboost DNA,91
612,New Balance Fresh Foam 880 v10,90
613,Under Armour HOVR Phantom RN,84
614,Altra Viho,87
615,Adidas Adizero Takumi-Sen 6,81
616,Asics Gel Nimbus Lite,89
617,Asics Novablast,89
618,Asics Gel Sonoma 5,79
619,Asics Gel Torrance Trail,80
620,Inov-8 F-Lite 245,84
621,Adidas SL20,89
622,Skechers GOrun Speed Elite,89
623,Reebok Lite 2.0,82
624,Scott Supertrac 2.0 GTX,78
625,Asics Gel Noosa Tri 12,89
626,Arc'teryx Norvan LD 2 GTX,74
627,Asics Gel Pulse 11 MX,81
628,Salomon Sense Ride 3,90
629,Mizuno Wave Sky 3,88
